Age_group,Region,Year,Deaths
55-64 years,Northern Territory,2022,246
55-64 years,Northern Territory,2023,199
65-74 years,Northern Territory,2014,243
65-74 years,Northern Territory,2015,201
65-74 years,Northern Territory,2016,249
65-74 years,Northern Territory,2017,221
65-74 years,Northern Territory,2018,225
65-74 years,Northern Territory,2019,247
65-74 years,Northern Territory,2020,287
65-74 years,Northern Territory,2021,260
65-74 years,Northern Territory,2022,282
65-74 years,Northern Territory,2023,301
75-84 years,Northern Territory,2014,176
75-84 years,Northern Territory,2015,208
75-84 years,Northern Territory,2016,200
75-84 years,Northern Territory,2017,184
75-84 years,Northern Territory,2018,233
75-84 years,Northern Territory,2019,210
75-84 years,Northern Territory,2020,224
75-84 years,Northern Territory,2021,258
75-84 years,Northern Territory,2022,277
75-84 years,Northern Territory,2023,247
85 years and over,Northern Territory,2014,111
85 years and over,Northern Territory,2015,125
85 years and over,Northern Territory,2016,105
85 years and over,Northern Territory,2017,122
85 years and over,Northern Territory,2018,133
85 years and over,Northern Territory,2019,162
85 years and over,Northern Territory,2020,136
85 years and over,Northern Territory,2021,155
85 years and over,Northern Territory,2022,188
85 years and over,Northern Territory,2023,148
All persons,Northern Territory,2014,1149
All persons,Northern Territory,2015,1127
All persons,Northern Territory,2016,1059
All persons,Northern Territory,2017,1118
All persons,Northern Territory,2018,1164
All persons,Northern Territory,2019,1130
All persons,Northern Territory,2020,1147
All persons,Northern Territory,2021,1221
All persons,Northern Territory,2022,1373
All persons,Northern Territory,2023,1229
Under 1 year,Queensland,2014,273
Under 1 year,Queensland,2015,256
Under 1 year,Queensland,2016,244
Under 1 year,Queensland,2017,255
Under 1 year,Queensland,2018,215
Under 1 year,Queensland,2019,247
Under 1 year,Queensland,2020,242
Under 1 year,Queensland,2021,244
Under 1 year,Queensland,2022,274
Under 1 year,Queensland,2023,277
1-14 years,Queensland,2014,101
1-14 years,Queensland,2015,119
1-14 years,Queensland,2016,104
1-14 years,Queensland,2017,101
1-14 years,Queensland,2018,87
1-14 years,Queensland,2019,98
1-14 years,Queensland,2020,93
1-14 years,Queensland,2021,104
1-14 years,Queensland,2022,119
1-14 years,Queensland,2023,115
15-24 years,Queensland,2014,251
15-24 years,Queensland,2015,276
15-24 years,Queensland,2016,252
15-24 years,Queensland,2017,263
15-24 years,Queensland,2018,284
15-24 years,Queensland,2019,279
15-24 years,Queensland,2020,284
15-24 years,Queensland,2021,284
15-24 years,Queensland,2022,252
15-24 years,Queensland,2023,273
25-34 years,Queensland,2014,414
25-34 years,Queensland,2015,445
25-34 years,Queensland,2016,422
25-34 years,Queensland,2017,454
25-34 years,Queensland,2018,442
25-34 years,Queensland,2019,419
25-34 years,Queensland,2020,459
25-34 years,Queensland,2021,425
25-34 years,Queensland,2022,412
25-34 years,Queensland,2023,449
35-44 years,Queensland,2014,709
35-44 years,Queensland,2015,788
35-44 years,Queensland,2016,759
35-44 years,Queensland,2017,783
35-44 years,Queensland,2018,734
35-44 years,Queensland,2019,670
35-44 years,Queensland,2020,749
35-44 years,Queensland,2021,748
35-44 years,Queensland,2022,788
35-44 years,Queensland,2023,778
45-54 years,Queensland,2014,1396
45-54 years,Queensland,2015,1464
45-54 years,Queensland,2016,1460
45-54 years,Queensland,2017,1483
45-54 years,Queensland,2018,1477
45-54 years,Queensland,2019,1394
45-54 years,Queensland,2020,1476
45-54 years,Queensland,2021,1460
45-54 years,Queensland,2022,1606
45-54 years,Queensland,2023,1547
55-64 years,Queensland,2014,2786
55-64 years,Queensland,2015,2763
